Software Version,2.09.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\lolalab\Desktop\Adam K- Lin\181023 ECPP 32C.xpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol File Path:,C:\Users\lolalab\Desktop\Adam K- Lin\180417 ECPP time point.prt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,10/23/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,6:48:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number:,1606211F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,Greiner 96 Black Flat Bottom Fluotrac (Use plate lid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 32øC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,"Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Shake,Double Orbital: Continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency: 282 cpm (3 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Absorbance Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1..F11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F1..F11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 510,  Emission: 540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 585,  Emission: 615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Light Source: Xenon Flash,  Lamp Energy: High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,
,C,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,
,E,SPL1,SPL4,SPL7,SPL10,SPL13,SPL16,SPL19,SPL22,SPL25,SPL28,SPL31,,Well ID,,,,,,,,,,,,,,,,,,,,,
,F,SPL2,SPL5,SPL8,SPL11,SPL14,SPL17,SPL20,SPL23,SPL26,SPL29,SPL32,,Well ID,,,,,,,,,,,,,,,,,,,,,
,G,SPL3,SPL6,SPL9,SPL12,SPL15,SPL18,SPL21,SPL24,SPL27,SPL30,SPL33,,Well ID,,,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read 1:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Tø Read 1:600,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11
,0:09:33,32,,,,,,,,,,,,0.082,0.084,0.083,0.083,0.084,0.085,0.084,0.092,0.084,0.085,0.084,,,,,,,,,,,
,0:19:33,32,,,,,,,,,,,,0.082,0.084,0.083,0.083,0.084,0.085,0.084,0.092,0.084,0.085,0.083,,,,,,,,,,,
,0:29:33,32,,,,,,,,,,,,0.082,0.084,0.083,0.083,0.084,0.085,0.083,0.092,0.083,0.084,0.083,,,,,,,,,,,
,0:39:33,32,,,,,,,,,,,,0.082,0.084,0.083,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,0:49:33,32,,,,,,,,,,,,0.082,0.085,0.084,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,0:59:33,32,,,,,,,,,,,,0.082,0.085,0.084,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,1:09:33,32,,,,,,,,,,,,0.082,0.085,0.084,0.083,0.084,0.085,0.083,0.091,0.083,0.084,0.083,,,,,,,,,,,
,1:19:33,32,,,,,,,,,,,,0.082,0.086,0.085,0.084,0.085,0.085,0.083,0.09,0.083,0.084,0.084,,,,,,,,,,,
,1:29:33,32,,,,,,,,,,,,0.082,0.086,0.085,0.084,0.085,0.086,0.084,0.09,0.084,0.084,0.084,,,,,,,,,,,
,1:39:33,32,,,,,,,,,,,,0.082,0.087,0.086,0.084,0.085,0.086,0.084,0.09,0.083,0.084,0.083,,,,,,,,,,,
,1:49:33,32.1,,,,,,,,,,,,0.082,0.087,0.086,0.085,0.085,0.086,0.084,0.09,0.086,0.084,0.084,,,,,,,,,,,
,1:59:33,32.1,,,,,,,,,,,,0.082,0.088,0.086,0.085,0.086,0.088,0.084,0.091,0.085,0.084,0.084,,,,,,,,,,,
,2:09:33,32.1,,,,,,,,,,,,0.082,0.088,0.087,0.085,0.086,0.088,0.084,0.091,0.088,0.084,0.083,,,,,,,,,,,
,2:19:33,32,,,,,,,,,,,,0.082,0.088,0.087,0.085,0.086,0.088,0.084,0.094,0.087,0.085,0.083,,,,,,,,,,,
,2:29:33,32,,,,,,,,,,,,0.082,0.089,0.087,0.086,0.086,0.088,0.084,0.091,0.088,0.087,0.083,,,,,,,,,,,
,2:39:33,32.1,,,,,,,,,,,,0.082,0.089,0.087,0.086,0.087,0.089,0.084,0.091,0.086,0.086,0.083,,,,,,,,,,,
,2:49:33,32.1,,,,,,,,,,,,0.082,0.089,0.088,0.086,0.087,0.088,0.085,0.094,0.085,0.086,0.083,,,,,,,,,,,
,2:59:33,32,,,,,,,,,,,,0.082,0.09,0.088,0.086,0.088,0.091,0.085,0.094,0.087,0.088,0.084,,,,,,,,,,,
,3:09:33,32,,,,,,,,,,,,0.082,0.091,0.089,0.087,0.089,0.092,0.086,0.095,0.087,0.088,0.083,,,,,,,,,,,
,3:19:33,32,,,,,,,,,,,,0.082,0.092,0.089,0.087,0.09,0.091,0.088,0.095,0.088,0.088,0.083,,,,,,,,,,,
,3:29:33,32,,,,,,,,,,,,0.082,0.095,0.09,0.087,0.091,0.091,0.089,0.095,0.088,0.089,0.084,,,,,,,,,,,
,3:39:33,32,,,,,,,,,,,,0.082,0.099,0.09,0.088,0.091,0.092,0.089,0.096,0.089,0.09,0.083,,,,,,,,,,,
,3:49:33,32.1,,,,,,,,,,,,0.082,0.101,0.091,0.089,0.093,0.094,0.089,0.097,0.088,0.09,0.083,,,,,,,,,,,
,3:59:33,32.1,,,,,,,,,,,,0.082,0.103,0.093,0.089,0.094,0.095,0.09,0.096,0.089,0.09,0.084,,,,,,,,,,,
