Software Version,2.09.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Path:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocol File Path:,C:\Users\lolalab\Desktop\Adam K- Lin\180417 ECPP time point.prt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,11/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,7:50:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number:,1606211F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,Greiner 96 Black Flat Bottom Fluotrac (Use plate lid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 40°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,"Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Shake,Double Orbital: Continuous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frequency: 282 cpm (3 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Absorbance Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D1..D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wavelengths:  600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Read,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D1..D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 510,  Emission: 540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filter Set 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Excitation: 585,  Emission: 615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"    Optics: Top,  Gain: 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Light Source: Xenon Flash,  Lamp Energy: High",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Read Height: 7 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Kinetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,B,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,C,SPL1,SPL4,SPL7,SPL10,SPL13,SPL16,SPL19,SPL22,SPL25,SPL28,SPL31,SPL34,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,D,SPL2,SPL5,SPL8,SPL11,SPL14,SPL17,SPL20,SPL23,SPL26,SPL29,SPL32,SPL35,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,E,SPL3,SPL6,SPL9,SPL12,SPL15,SPL18,SPL21,SPL24,SPL27,SPL30,SPL33,SPL36,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,F,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,G,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,H,,,,,,,,,,,,,Well ID,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read 1:600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,T° Read 1:600,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
,0:09:31,40,,,,,,,,,,,,,0.086,0.089,0.089,0.089,0.089,0.088,0.088,0.089,0.088,0.089,0.085,0.09,,,,,,,,,,,,
,0:19:31,40,,,,,,,,,,,,,0.086,0.089,0.089,0.089,0.089,0.087,0.088,0.088,0.089,0.089,0.085,0.09,,,,,,,,,,,,
,0:29:31,40,,,,,,,,,,,,,0.086,0.09,0.089,0.089,0.089,0.087,0.088,0.088,0.088,0.088,0.085,0.09,,,,,,,,,,,,
,0:39:31,40,,,,,,,,,,,,,0.086,0.09,0.089,0.09,0.089,0.087,0.088,0.087,0.088,0.088,0.085,0.09,,,,,,,,,,,,
,0:49:31,40,,,,,,,,,,,,,0.086,0.091,0.09,0.09,0.089,0.088,0.089,0.087,0.087,0.089,0.085,0.09,,,,,,,,,,,,
,0:59:31,40,,,,,,,,,,,,,0.086,0.092,0.091,0.091,0.09,0.088,0.089,0.087,0.087,0.089,0.085,0.09,,,,,,,,,,,,
,1:09:31,40,,,,,,,,,,,,,0.086,0.092,0.092,0.092,0.09,0.089,0.089,0.087,0.087,0.088,0.085,0.09,,,,,,,,,,,,
,1:19:31,40,,,,,,,,,,,,,0.086,0.093,0.093,0.093,0.091,0.089,0.09,0.087,0.087,0.089,0.085,0.09,,,,,,,,,,,,
,1:29:31,40,,,,,,,,,,,,,0.086,0.094,0.094,0.094,0.091,0.09,0.091,0.087,0.087,0.09,0.085,0.09,,,,,,,,,,,,
,1:39:31,40,,,,,,,,,,,,,0.086,0.095,0.095,0.095,0.092,0.091,0.092,0.087,0.088,0.089,0.085,0.09,,,,,,,,,,,,
,1:49:31,40,,,,,,,,,,,,,0.086,0.097,0.097,0.096,0.093,0.092,0.093,0.087,0.088,0.09,0.085,0.09,,,,,,,,,,,,
,1:59:31,40,,,,,,,,,,,,,0.086,0.098,0.099,0.098,0.094,0.093,0.094,0.088,0.088,0.09,0.085,0.09,,,,,,,,,,,,
,2:09:31,40,,,,,,,,,,,,,0.086,0.1,0.101,0.099,0.095,0.094,0.096,0.089,0.089,0.091,0.085,0.09,,,,,,,,,,,,
,2:19:31,40,,,,,,,,,,,,,0.086,0.102,0.103,0.101,0.097,0.096,0.096,0.089,0.089,0.092,0.085,0.09,,,,,,,,,,,,
,2:29:31,40,,,,,,,,,,,,,0.086,0.104,0.106,0.103,0.098,0.098,0.1,0.089,0.089,0.092,0.085,0.09,,,,,,,,,,,,
,2:39:31,40,,,,,,,,,,,,,0.086,0.108,0.111,0.106,0.1,0.1,0.1,0.091,0.09,0.092,0.085,0.09,,,,,,,,,,,,
,2:49:31,40,,,,,,,,,,,,,0.086,0.112,0.114,0.109,0.102,0.102,0.102,0.092,0.09,0.093,0.085,0.09,,,,,,,,,,,,
,2:59:31,40,,,,,,,,,,,,,0.086,0.115,0.119,0.112,0.105,0.105,0.104,0.094,0.09,0.093,0.085,0.09,,,,,,,,,,,,
,3:09:31,39.9,,,,,,,,,,,,,0.086,0.118,0.122,0.115,0.107,0.107,0.107,0.094,0.091,0.093,0.085,0.09,,,,,,,,,,,,
,3:19:31,40,,,,,,,,,,,,,0.086,0.122,0.124,0.118,0.109,0.112,0.109,0.095,0.09,0.094,0.085,0.09,,,,,,,,,,,,
