Temp,Replicate,t_trunc,fl_flat,end_exp
32C,EC1,6.5,43000,NA
32C,EC2,6.5,43000,NA
32C,EC3,6.5,43000,NA
32C,PP1,6.25,3400,NA
32C,PP2,6.25,3400,NA
32C,PP3,6.25,3400,NA
32C,ECco1,4,NA,20
32C,ECco2,4,NA,20
32C,ECco3,4,NA,20
32C,PPco1,6.5,NA,20
32C,PPco2,6.5,NA,20
32C,PPco3,6.5,NA,20
34C,EC1,3,45000,NA
34C,EC2,3,45000,NA
34C,EC3,3,45000,NA
34C,PP1,4,3000,NA
34C,PP2,4,3000,NA
34C,PP3,4,3000,NA
34C,ECco1,2,NA,17.5
34C,ECco2,2,NA,17.5
34C,ECco3,2,NA,17.5
34C,PPco1,4,NA,17.5
34C,PPco2,4,NA,17.5
34C,PPco3,4,NA,17.5
36C,EC1,0,19000,NA
36C,EC2,0,19000,NA
36C,EC3,0,19000,NA
36C,PP1,0,1500,NA
36C,PP2,0,1500,NA
36C,PP3,0,1500,NA
36C,ECco1,0,NA,11
36C,ECco2,0,NA,11
36C,ECco3,0,NA,11
36C,PPco1,0,NA,11
36C,PPco2,0,NA,11
36C,PPco3,0,NA,11
38C,EC1,1,18000,NA
38C,EC2,1,18000,NA
38C,EC3,1,18000,NA
38C,PP1,4,1700,NA
38C,PP2,4,1700,NA
38C,PP3,4,1700,NA
38C,ECco1,0,7700,10
38C,ECco2,0,7700,10
38C,ECco3,0,7700,10
38C,PPco1,3,650,10
38C,PPco2,3,650,10
38C,PPco3,3,650,10
40C,EC1,2,7500,NA
40C,EC2,2,7500,NA
40C,EC3,2,7500,NA
40C,PP1,4,1500,NA
40C,PP2,4,1500,NA
40C,PP3,4,1500,NA
40C,ECco1,0,5000,16
40C,ECco2,0,5000,16
40C,ECco3,0,5000,16
40C,PPco1,9,NA,16
40C,PPco2,9,NA,16
40C,PPco3,9,NA,16


