temp,a_ii,a_jj,a_ij,a_ji,nd,rfd,error
32C,1.49543152375044,1.44919657398795,1e-04,1e-04,0.99993207133414,1.01582668293137,347.490484850503
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.38965965013978,2.88979271877013,0,0,1,NaN,4.69586321185661
40C,0.529973716365192,1.55676533462896,1.53492981174076e-05,1e-04,0.999956867411848,0.22859138039132,630
32C,12.9170079140597,1.52040319776612,0,-0.5,1,0,76.8435017751813
34C,NA,NA,NA,NA,NA,NA,NA
36C,3.95599793068177,1.36141997166731,0,-0.4999,1,0,8.66025243193589
38C,NA,NA,NA,NA,NA,NA,NA
40C,1.6071378154609,2.0260867829688,1e-04,-0.4999,NaN,NaN,345.24451388465
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.46105243355356,0.501334883991741,1e-04,0.5001,0.991737117750492,0.0241401804015406,452.390436869832
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.38421165703515,1.89414038852967,0,0.5,1,0,6.63178340670227
40C,1.12239319112346,0.518258845913121,9.97733649694311e-05,0.5001,0.990738318039978,0.0207863402725038,173.680751163267
32C,2.45663240372684,1.44920200501525,1e-04,-0.9999,NaN,NaN,347.490484845382
34C,9.77421554832731,1.23492127298664,0,-1,1,0,34.6555307523896
36C,3.95053069999084,1.52152437696613,0,-0.9999,1,0,10.0318861140353
38C,2.37743756307111,4.89772075887837,0,-0.9999,1,0,4.2714730517736
40C,NA,NA,NA,NA,NA,NA,NA
32C,NA,NA,NA,NA,NA,NA,NA
34C,1.45697440371962,0.500576576508874,1e-04,1.00008245153232,0.988290005787356,0.0170597552325677,427.191391237109
36C,0.649324602749096,1.20483681725706,1e-04,1.0001,0.988693539513807,0.00734082888080743,224.447749865707
38C,2.35958335658369,0.864770550906877,0,1,1,0,10.0779389946838
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.62544731847354,1.44919621614082,1e-04,-1.4999,NaN,NaN,347.490484856605
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.36299775282517,5.93532192533162,0,-1.4999,1,0,4.97172518857463
40C,1.63851073579644,1.86660057764438,1e-04,-1.4999,NaN,NaN,345.104803077016
32C,12.6020813847589,1.23461201077128,0,1.5,1,0,80.1106637277837
34C,NA,NA,NA,NA,NA,NA,NA
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.45678896989883,0,0,1.5,NaN,NaN,15.0959251512141
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.69709912952562,1.44919996287816,1e-04,-1.9999,NaN,NaN,347.49048488356
34C,9.80802846335587,1.38902790908808,0,-2,1,0,32.9359769926491
36C,NA,NA,NA,NA,NA,NA,NA
38C,2.38967610213835,2.71951190749716,0,-2,1,0,232.453576504453
40C,1.64561591445444,1.84370917962729,1e-04,-1.9999,NaN,NaN,346.501502718755
32C,1.22498027970031,1.44919641766943,1e-04,2,0.989385810835743,0.00650108620561176,347.490484851139
34C,1.46184511548378,0.500193526676105,1e-04,2.00001884017501,0.983461453852219,0.0120882825789888,408.666786597535
36C,0.69012912087415,1.20483830538357,1e-04,2.0001,0.984490553646074,0.00535149271410429,224.447749871408
38C,3.18225200315681,0,0,2,NaN,NaN,34.1227193606765
40C,NA,NA,NA,NA,NA,NA,NA
32C,1.27951345931382,1.44919664218433,1e-04,-2.5,NaN,NaN,347.490484855531
